Krate,run,int,log.int,log.time,sq.time,time,season,Km,Knr
16.8,1,10,2.302585093,-5.6629604801,0.0589255651,0.0034722222,Winter,4660,168
23.8,1,5,1.6094379124,-4.5643481915,0.1020620726,0.0104166667,Winter,4541,119
22.5,1,10,2.302585093,-4.276666119,0.1178511302,0.0138888889,Winter,4316,225
18.1,1,10,2.302585093,-3.8712010109,0.1443375673,0.0208333333,Winter,4135,181
22.6,1,10,2.302585093,-3.5835189385,0.1666666667,0.0277777778,Winter,3909,226
26.9,1,10,2.302585093,-3.3603753871,0.1863389981,0.0347222222,Winter,3640,269
20.45,1,20,2.9957322736,-3.1780538303,0.2041241452,0.0416666667,Winter,3231,409
8.95,1,20,2.9957322736,-2.8903717579,0.2357022604,0.0555555556,Winter,3052,179
0.65,1,20,2.9957322736,-2.6672282066,0.2635231383,0.0694444444,Winter,3039,13
9.5,1,30,3.4011973817,-2.4849066498,0.2886751346,0.0833333333,Winter,2754,285
10.1,1,30,3.4011973817,-2.2617630985,0.3227486122,0.1041666667,Winter,2451,303
8.6666666667,1,30,3.4011973817,-2.0794415417,0.3535533906,0.125,Winter,2191,260
7.4,1,30,3.4011973817,-1.9252908619,0.3818813079,0.1458333333,Winter,1969,222
8.4666666667,1,30,3.4011973817,-1.7917594692,0.4082482905,0.1666666667,Winter,1715,254
5.6666666667,1,30,3.4011973817,-1.6739764336,0.4330127019,0.1875,Winter,1545,170
6.3833333333,1,60,4.0943445622,-1.5686159179,0.4564354646,0.2083333333,Winter,1162,383
5.15,1,60,4.0943445622,-1.3862943611,0.5,0.25,Winter,853,309
2.0666666667,1,60,4.0943445622,-1.2321436813,0.5400617249,0.2916666667,Winter,729,124
1.9666666667,1,120,4.7874917428,-1.0986122887,0.5773502692,0.3333333333,Winter,493,236
1.4416666667,1,240,5.4806389233,-0.8754687374,0.6454972244,0.4166666667,Winter,147,346
0.625,1,120,4.7874917428,-0.5389965007,0.7637626158,0.5833333333,Winter,72,75
0.175,1,240,5.4806389233,-0.4054651081,0.8164965809,0.6666666667,Winter,30,42
0.1583333333,1,120,4.7874917428,-0.1823215568,0.9128709292,0.8333333333,Winter,11,19
0.0666666667,1,120,4.7874917428,-0.087011377,0.9574271078,0.9166666667,Winter,3,8
0.01,1,300,5.7037824747,0,1,1,Winter,0,3
9.8,1,10,2.302585093,-5.6629604801,0.0589255651,0.0034722222,Winter,4009,98
23.6,1,5,1.6094379124,-4.5643481915,0.1020620726,0.0104166667,Winter,3891,118
19.5,1,10,2.302585093,-4.276666119,0.1178511302,0.0138888889,Winter,3696,195
14,1,10,2.302585093,-3.8712010109,0.1443375673,0.0208333333,Winter,3556,140
19.4,1,10,2.302585093,-3.5835189385,0.1666666667,0.0277777778,Winter,3362,194
25,1,10,2.302585093,-3.3603753871,0.1863389981,0.0347222222,Winter,3112,250
9.6,1,20,2.9957322736,-3.1780538303,0.2041241452,0.0416666667,Winter,2920,192
5.65,1,20,2.9957322736,-2.8903717579,0.2357022604,0.0555555556,Winter,2807,113
7.45,1,20,2.9957322736,-2.6672282066,0.2635231383,0.0694444444,Winter,2658,149
6.7333333333,1,30,3.4011973817,-2.4849066498,0.2886751346,0.0833333333,Winter,2456,202
8.2666666667,1,30,3.4011973817,-2.2617630985,0.3227486122,0.1041666667,Winter,2208,248
10.6,1,30,3.4011973817,-2.0794415417,0.3535533906,0.125,Winter,1890,318
