Mnd.ut,Tidspunkt,Mnd.inn,Ant.mnd.ute,Rigg,Brikke,Ant.spor,St.id,Sori1.ny,Sori1.gam,Sori2.ny,Sori2.gam,Sori3.ny,Sori3.gam
November,1,December,1,1,1,15,1,75,0,,,,
November,1,December,1,1,2,15,1,75,0,,,,
November,1,December,1,1,3,82,1,75,0,,,,
November,1,December,1,1,4,26,1,75,0,,,,
November,1,December,1,2,1,50,1,50,0,,,,
November,1,December,1,2,2,99,1,50,0,,,,
November,1,December,1,2,3,40,1,50,0,,,,
November,1,December,1,2,4,25,1,50,0,,,,
November,1,December,1,3,1,91,1,25,0,,,,
November,1,December,1,3,2,29,1,25,0,,,,
November,1,December,1,3,3,94,1,25,0,,,,
November,1,December,1,3,4,55,1,25,0,,,,
November,1,December,1,4,1,36,1,60,0,,,,
November,1,December,1,4,2,63,1,60,0,,,,
November,1,December,1,4,3,9,1,60,0,,,,
November,1,December,1,4,4,37,1,60,0,,,,
November,1,December,1,5a,1,47,1,50,0,,,,
November,1,December,1,5a,2,73,1,50,0,,,,
November,1,December,1,5a,3,49,1,50,0,,,,
November,1,December,1,5a,4,80,1,50,0,,,,
November,1,December,1,6,1,37,2,50,0,,,,
November,1,December,1,6,2,27,2,50,0,,,,
November,1,December,1,6,3,24,2,50,0,,,,
November,1,December,1,6,4,16,2,50,0,,,,
November,1,December,1,7,1,12,2,25,0,,,,
November,1,December,1,7,2,18,2,25,0,,,,
November,1,December,1,7,3,80,2,25,0,,,,
November,1,December,1,7,4,10,2,25,0,,,,
November,1,December,1,8a,1,44,2,25,0,,,,
November,1,December,1,8a,2,67,2,25,0,,,,
November,1,December,1,8a,3,25,2,25,0,,,,
November,1,December,1,8a,4,56,2,25,0,,,,
November,1,December,1,9,1,21,2,50,0,,,,
November,1,December,1,9,2,11,2,50,0,,,,
November,1,December,1,9,3,20,2,50,0,,,,
November,1,December,1,9,4,23,2,50,0,,,,
November,1,December,1,10a,1,17,2,60,0,,,,
November,1,December,1,10a,2,3,2,60,0,,,,
November,1,December,1,10a,3,6,2,60,0,,,,
November,1,December,1,10a,4,8,2,60,0,,,,
November,1,December,1,11,1,7,3,75,0,,,,
November,1,December,1,11,2,2,3,75,0,,,,
November,1,December,1,11,3,1,3,75,0,,,,
November,1,December,1,11,4,3,3,75,0,,,,
November,1,December,1,12,1,49,3,75,0,,,,
November,1,December,1,12,2,46,3,75,0,,,,
November,1,December,1,12,3,24,3,75,0,,,,
November,1,December,1,12,4,7,3,75,0,,,,
November,1,December,1,13,1,60,3,75,0,,,,
November,1,December,1,13,2,72,3,75,0,,,,
November,1,December,1,13,3,121,3,75,0,,,,
November,1,December,1,13,4,90,3,75,0,,,,
November,1,December,1,14,1,105,3,50,0,,,,
November,1,December,1,14,2,101,3,50,0,,,,
November,1,December,1,14,3,103,3,50,0,,,,
November,1,December,1,14,4,87,3,50,0,,,,
November,1,December,1,15a,1,74,3,25,0,,,,
November,1,December,1,15a,2,52,3,25,0,,,,
November,1,December,1,15a,3,141,3,25,0,,,,
November,1,December,1,15a,4,38,3,25,0,,,,
November,1,January,2,1,1,75,1,75,0,70,0,,
November,1,January,2,1,2,48,1,75,0,70,0,,
November,1,January,2,1,3,22,1,75,0,70,0,,
November,1,January,2,1,4,56,1,75,0,70,0,,
November,1,January,2,2,1,65,1,50,0,90,0,,
November,1,January,2,2,2,99,1,50,0,90,0,,
November,1,January,2,2,3,94,1,50,0,90,0,,
November,1,January,2,2,4,36,1,50,0,90,0,,
November,1,January,2,3,1,50,1,25,0,80,0,,
November,1,January,2,3,2,42,1,25,0,80,0,,
November,1,January,2,3,3,26,1,25,0,80,0,,
November,1,January,2,3,4,84,1,25,0,80,0,,
November,1,January,2,4,1,23,1,60,0,90,0,,
November,1,January,2,4,2,23,1,60,0,90,0,,
November,1,January,2,4,3,50,1,60,0,90,0,,
